"genre","avg_vote","income"
"Horror, Mystery, Thriller",6.6,125.479
"Drama, Fantasy, Horror",5,23.469
"Drama",6.7,7.286
"Crime, Drama, Mystery",7.7,43.981
"Crime, Drama, History",7.3,23.355
"Comedy, Crime, Drama",7,48.454
"Horror, Sci-Fi, Thriller",6.6,100.542
"Comedy, Drama, Romance",7.5,56.412
"Drama, Western",7.2,35.669
"Comedy, Romance",6.5,6.482
"Crime, Drama, Mystery",6.7,3.980
"Biography, Comedy, Drama",7.5,53.939
"Adventure, Drama, Fantasy",7.3,195.333
"Drama, Thriller",6.3,27.869
"Comedy, Crime, Drama",6.7,3.187
"Drama",7.6,10.971
"Drama, Romance, Western",6.5,4.102
"Comedy",6,180.613
"Biography, Comedy, Drama",6.6,1.336
"Biography, Drama, Romance",6.7,4.048
"Comedy, Drama, Romance",5.8,37.271
"Comedy, Crime",4.5,7.634
"Drama, Romance",7.9,41.888
"Biography, Drama, Sport",6.9,3.430
"Drama, Romance",7.5,47.757
"Drama",7.1,1.241
"Biography, Drama, History",6.8,66.558
"Drama",6.2,15.889
"Animation, Adventure, Comedy",7.4,9.399
"Drama, Horror, Mystery",6.7,12.295
"Drama, Family",7.2,1.983
"Crime, Drama, Thriller",6.5,13.026
"Comedy, Family",4.3,40.141
"Comedy, Drama, Romance",6.1,5.382
"Action, History",6.4,9.560
"Drama, Romance",6.6,8.003
"Biography, Drama",6.3,18.176
"Comedy, Drama, Horror",3.8,48.334
"Drama, Fantasy, Romance",6.9,1.952
"Drama, Thriller",7.2,192.939
"Drama, Fantasy, Horror",7,1.464
"Comedy",5.6,130.560
"Horror, Mystery, Sci-Fi",5.3,3.698
"Drama, History, Thriller",7.4,1.197
"Crime, Drama, Thriller",7.7,3.602
"Action, Adventure, Drama",6,870.325
"Comedy, Horror",7.7,27.590
"Comedy, Crime, Mystery",6,31.626
"Fantasy, Horror, Mystery",6.8,7.942
