"genre","avgVote","income"
"Action, Thriller",7,145417936
"Action, Adventure, Fantasy",5.6,113231078
"Biography, Drama, Music",5.8,55668698
"Drama, Fantasy, Mystery",6.4,16373843
"Biography, Drama, History",6.6,4870373
"Biography, Drama, History",7,26152835
"Adventure, Comedy, Drama",7.2,205736628
"Crime, Drama, Mystery",5.1,43155261
"Action, Adventure, Fantasy",6.6,794878815
"Action, Drama, Mystery",8,259239658
"Action, Comedy, Crime",6.9,176600207
"Action, Thriller",6.2,67234188
"Comedy, Drama",5.5,25601244
"Action, Adventure, Drama",6.7,148675066
"Action, Sci-Fi, Thriller",5.3,221600160
"Comedy, Drama",6.9,125856180
"Drama, Horror, Mystery",5.2,45158254
"Action, Crime, Thriller",5.6,32917353
"Animation, Action, Comedy",6.2,125427681
"Biography, Drama, History",6.5,12217160
"Action, Adventure, Drama",6.4,62832209
"Action, Adventure, Fantasy",6.5,225874228
"Action, Adventure, Sci-Fi",7.4,880166924
"Action, Adventure, Comedy",6.9,962102237
"Horror, Sci-Fi, Thriller",6.4,240891763
"Action, Adventure, Comedy",4.5,60845711
"Action, Adventure, Fantasy",5.4,409231607
"Biography, Drama",7.1,22088533
"Animation, Adventure, Family",8.4,807083670
"Animation, Adventure, Comedy",6,197183546
"Action, Thriller",6.7,100014025
"Action, Adventure, Fantasy",7,1332540187
"Drama, Family",8,323253714
"Comedy, Crime",6.6,84918541
"Biography, Drama, History",6.1,6724365
"Drama",7.2,41681746
"Family, Fantasy, Musical",7.1,1264064380
"Biography, Drama, War",6.5,9995692
"Drama, Fantasy",6.3,96942115
"Adventure, Drama, Horror",5.6,62198461
"Animation, Action, Adventure",6,123081555
"Drama",6.5,12055868
"Animation, Biography, Crime",7.8,42187665
"Action, Drama, Sci-Fi",8.1,619021436
"Adventure, Biography, Drama",6,4536348
"Horror, Mystery",5.8,102952888
"Action, Adventure, Sci-Fi",5.2,605425157
"Comedy",5.6,41087017
"Crime, Drama, Mystery",6.5,352789811
"Animation, Adventure, Comedy",6.7,296069199
"Action, Adventure, Drama",7.4,490719763
"Drama, Thriller",5.1,17768012
"Animation, Adventure, Comedy",6.3,1034799409
"Animation, Adventure, Comedy",5.4,68743485
"Action, Adventure, Comedy",7.9,853979142
"Biography, Comedy, Drama",7.4,29820616
"Action, Biography, Comedy",7.2,134866593
"Adventure, Comedy, Drama",6.2,140552359
"Animation, Adventure, Comedy",6.7,383930656
"Action, Adventure, Sci-Fi",5.9,142337240
"Action, Adventure, Fantasy",6.6,566652812
"Action, Biography, Drama",7.6,26351322
"Animation, Adventure, Comedy",6.3,527965936
"Biography, Drama",6.9,8503658
"Action, Crime, Drama",7.6,226945087
"Action, Adventure, Comedy",7.6,863756051
"Drama, Romance, Sci-Fi",6.4,16080475
"Drama, Fantasy, Horror",4.2,29874280
"Animation, Action, Comedy",7.3,311950384
"Animation, Adventure, Comedy",6.1,60330833
"Biography, Crime, Drama",7.4,59284015
"Action, Adventure, Comedy",5.2,257750479
"Drama, Sci-Fi, Thriller",5.3,40656399
"Action, Crime, Thriller",7.5,173418558
"Drama, Romance",4.6,381545846
"Adventure, Comedy, Family",7.8,227978645
"Drama",7.6,43069254
"Comedy, Crime",5.6,34184504
"Comedy, Drama, Family",6.7,15845593
"Biography, Drama, History",7.4,153129891
"Crime, Drama, Thriller",6.6,4596705
"Animation, Adventure, Comedy",6.2,84315669
"Biography, Comedy, Drama",6.7,18598607
"Action, Adventure, Crime",6.7,1236005118
"Action, Adventure, Comedy",6.7,410902662
"Drama",6.1,5942565
"Biography, Crime, Drama",6.3,17535962
"Comedy, Drama, History",7.2,24646055
"Horror, Mystery",6.2,19735344
"Comedy, Music",5.8,185400345
"Comedy, Drama",6,62547032
"Comedy, Crime, Thriller",5.2,47347283
"Crime, Drama, Thriller",7.4,3283369
"Animation, Adventure, Comedy",3.3,217776646
"Comedy, Drama",7.4,79097104
"Drama, Romance",6.4,61621140
"Action, Drama, History",7.9,526949403
"Comedy, Crime, Drama",8.2,160192031
"Horror, Mystery, Thriller",7.7,272500313
"Biography, Drama, History",7.3,10898998
"Drama, Horror, Mystery",6.6,44516999
"Horror, Mystery, Thriller",6.5,306515884
"Comedy, Drama",7.2,4282973
"Biography, Drama",6.8,1792414
"Comedy, Drama",6.9,11625884
"Drama, History, Thriller",6.5,18263470
"Adventure, Comedy, Family",5.4,247585244
"Biography, Crime, Drama",6.8,56996304
"Biography, Crime, Drama",7.2,10116816
"Drama",6.7,2610794
"Horror, Mystery, Thriller",6.6,125479266
"Drama, Fantasy, Horror",5,23468586
"Drama",6.7,7286136
"Crime, Drama, Mystery",7.7,43980821
"Crime, Drama, History",7.3,23355100
"Comedy, Crime, Drama",7,48453605
"Horror, Sci-Fi, Thriller",6.6,100541806
"Comedy, Drama, Romance",7.5,56411585
"Drama, Western",7.2,35669017
"Comedy, Romance",6.5,6481798
"Crime, Drama, Mystery",6.7,3979536
"Biography, Comedy, Drama",7.5,53939297
"Adventure, Drama, Fantasy",7.3,195333312
"Drama, Thriller",6.3,27869129
"Comedy, Crime, Drama",6.7,3187255
"Drama",7.6,10971298
"Drama, Romance, Western",6.5,4101699
"Comedy",6,180613180
"Biography, Comedy, Drama",6.6,1335846
"Biography, Drama, Romance",6.7,4047917
"Comedy, Drama, Romance",5.8,37270721
"Comedy, Crime",4.5,7634022
"Drama, Romance",7.9,41887595
"Biography, Drama, Sport",6.9,3430165
"Drama, Romance",7.5,47756590
"Drama",7.1,1240663
"Biography, Drama, History",6.8,66558465
"Drama",6.2,15889124
"Animation, Adventure, Comedy",7.4,9399067
"Drama, Horror, Mystery",6.7,12294931
"Drama, Family",7.2,1983149
"Crime, Drama, Thriller",6.5,13025860
"Comedy, Family",4.3,40140972
"Comedy, Drama, Romance",6.1,5381950
"Action, History",6.4,9559524
"Drama, Romance",6.6,8003180
"Biography, Drama",6.3,18175663
"Comedy, Drama, Horror",3.8,48333932
